category,songid,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Pop,28yT0sZlkqStSByo1j58J4,64,0.936,0.76,1,-7.873,0.282,0.00391,3.00E-06,0.0394,0.656,128.479
Pop,2QWP8NYYplOqEFBYGCcq0S,78,0.689,0.586,6,-7.61,0.107,0.241,0,0.356,0.61,93.02
Pop,7eGNiGg6SE27VkSrpZMVTD,25,0.474,0.779,9,-3.655,0.0604,0.0985,0.000106,0.658,0.233,136.23
Pop,1tp1xMJ1uaOktksskS0Fzs,86,0.76,0.476,8,-8.103,0.241,0.294,0,0.1,0.354,147.01
Pop,50RoQj3Bpff9kHJS844dAT,60,0.69,0.774,0,-6.28,0.0299,0.016,0,0.17,0.51,117.011
Pop,2xugNZzWFJVQB54PS5XnG2,67,0.617,0.189,9,-12.11,0.0302,0.954,0,0.0977,0.28,90.047
Pop,2Cd9iWfcOpGDHLz6tVA3G4,73,0.766,0.873,11,-6.381,0.143,0.00627,0,0.0764,0.727,126.988
Pop,4j6Hkosuk9xHcowXjtwefs,14,0.511,0.574,5,-7.016,0.0273,0.0425,2.30E-05,0.105,0.151,119.917
Pop,7e4Pftu2tzDeY0W0690OKQ,65,0.427,0.229,4,-11.564,0.0364,0.935,7.00E-06,0.0958,0.222,125.195
Pop,32OlwWuMpZ6b0aN2RZOeMS,84,0.856,0.609,0,-7.223,0.0824,0.00801,8.20E-05,0.0344,0.932,114.988
Pop,1ynmMEK1fkyiZ6Z6F3ThEt,70,0.653,0.677,0,-12.244,0.0396,0.249,0,0.403,0.878,114.37
Pop,27bzdvjicqDquFSjQrm3fh,46,0.581,0.226,5,-10.51,0.0638,0.954,0,0.299,0.387,141.878
Pop,7dzUZec5MnWMyQnk5klnKR,56,0.678,0.847,0,-5.825,0.0519,0.0219,0.0329,0.373,0.6,122.287
Pop,4KacUpvbA3Mfo05gttTjhN,68,0.574,0.911,9,-5.176,0.0715,0.000618,0,0.0769,0.613,98.075
Pop,6vGVf8K3ri7VfkCj6PtZRy,64,0.497,0.6,8,-7.677,0.0721,0.504,0,0.265,0.446,134.993
Pop,3DamFFqW32WihKkTVlwTYQ,74,0.591,0.649,3,-6.72,0.0417,0.0294,0,0.133,0.482,90.002
Pop,72TcMsVMm8ej4gpYGEYk72,32,0.717,0.628,8,-17.392,0.0377,0.0587,0.0711,0.0998,0.889,130.822
Pop,5lUTzPuiloBHm1qEaJcJfF,62,0.686,0.789,8,-4.713,0.23,0.0125,0.0147,0.142,0.72,172.976
Pop,20fksfq6sLM4RcepYoaJLi,40,0.793,0.607,11,-8.511,0.144,0.691,0,0.0601,0.564,103.033
Pop,3ooKsUCAz3EgEjZAPRwtCm,54,0.765,0.597,9,-5.858,0.0267,0.149,0.00145,0.0341,0.944,103.968
Pop,4RM7fLl8mz383Vx7tqfI6J,40,0.883,0.536,7,-5.953,0.0718,0.229,6.30E-05,0.167,0.712,105.049
Pop,3M7hiEYQXxekkGg3k32Xyt,32,0.86,0.834,1,-7.283,0.0985,0.464,0.0085,0.0756,0.775,115.047
Pop,3giKzSRMVnu5tX82sEEqSv,59,0.391,0.125,7,-8.464,0.0292,0.921,5.00E-06,0.0993,0.131,95.049
Pop,1Je1IMUlBXcx1Fz0WE7oPT,81,0.768,0.864,11,-6.145,0.0324,0.101,0,0.162,0.876,110.008
Pop,2XdgSB4TtzUHQYCMfSHbFI,36,0.725,0.503,10,-5.646,0.209,0.0144,2.00E-06,0.124,0.0636,153.047
Pop,1j4kHkkpqZRBwE0A4CN4Yv,99,0.258,0.437,11,-6.593,0.039,0.101,1.00E-06,0.106,0.0967,180.043
Pop,0ghghrqowThKrKukjhz9XR,45,0.859,0.69,7,-4.12,0.0614,0.336,7.00E-06,0.0864,0.79,108.994
Pop,1ZyMdpNyiw4VYsbmHFgzEp,65,0.464,0.412,1,-8.342,0.032,0.721,0,0.0393,0.113,132.259
Pop,2TmWgYDevPOukQGNJPeZrN,34,0.376,0.521,0,-7.673,0.042,0.632,2.00E-06,0.215,0.176,122.817
Pop,7dOZxMY4U4YZ3eFwOTABXK,46,0.497,0.704,0,-12.056,0.0346,0.0133,0.000394,0.371,0.577,164.679
Pop,2uXewDKMktNkkMfotqSxN6,52,0.7,0.587,6,-13.484,0.0282,0.0384,0.0225,0.0719,0.877,105.324
Pop,4agp6oHofabdUedr0B1krj,59,0.413,0.829,4,-11.111,0.529,0.394,0,0.108,0.683,191.477
Pop,0QSpX88FigdeGYsrAQZj9C,69,0.658,0.336,3,-8.935,0.0624,0.751,0,0.11,0.493,91.676
Pop,1xOIge04mz7Tj1KOPKoqTq,2,0.528,0.908,2,-5.609,0.0608,0.00438,0.000524,0.335,0.493,121.491
Pop,1PxTFIjG0IjuQDILHr4bXJ,6,0.52,0.761,11,-7.196,0.0478,0.036,0,0.2,0.469,86.012
Pop,19fm0eNKTeg1JbHCHwPhLe,54,0.738,0.861,11,-5.916,0.0324,0.0369,0,0.0942,0.756,104.027
Pop,1A5V1sxyCLpKJezp75tUXn,60,0.484,0.841,7,-5.438,0.0291,0.0196,2.00E-06,0.148,0.286,92.124
Pop,2ZE3DJuizYTad2S4CvRRhK,79,0.745,0.481,2,-8.291,0.054,0.302,4.00E-06,0.0808,0.229,137.001
Pop,0kdiUZDcLIFw0Buo9r0Q4z,80,0.665,0.621,10,-8.571,0.0524,0.38,0,0.119,0.632,147.975
Pop,0FutrWIUM5Mg3434asiwkp,59,0.695,0.976,8,-6.982,0.0428,0.0262,2.40E-05,0.182,0.932,113.357
Pop,5OMwQFBcte0aWFJFqrr5oj,72,0.755,0.832,2,-2.741,0.116,0.0746,1.00E-06,0.291,0.719,120.032
Pop,2chyJjEMYj397jz1QLEGO7,51,0.619,0.971,7,-3.045,0.13,0.0526,0,0.196,0.304,122.552
Pop,2gPJ00vC3WKoAja0rNk0F1,70,0.603,0.332,11,-8.261,0.0412,0.792,0,0.128,0.499,173.9
Pop,2QoyYV4YAuw9T9UgsDoam2,70,0.585,0.397,7,-9.847,0.0528,0.782,0,0.269,0.224,86.837
Pop,3P6oKxLPu8AMIB6y1wF86y,60,0.569,0.55,1,-4.159,0.0384,0.842,0,0.113,0.574,88.978
