,songid,song_title,artist_name,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,category
3241,07AjyDeE85pDr4Dj8BzgWB,Im Shakin,Jack White,51,0.586,0.782,11,-10.052,0.235,0.0142,0.0010199999999999999,0.0673,0.75,80.753,4,Pop
3242,6t1FIJlZWTQfIZhsGjaulM,Video Killed The Radio Star,The Buggles,63,0.698,0.636,1,-13.689,0.0852,0.113,0.0119,0.218,0.311,131.033,4,Pop
3243,477Yon8OMSZpcKC7b8Ae5y,Let It Go,Straight No Chaser,29,0.491,0.389,3,-4.492,0.0282,0.659,0.0,0.184,0.39,130.201,4,Pop
3244,0WZEBO1GdTUGlnVhGbtmIf,Run Away - Remix,L.A.X,33,0.82,0.584,6,-6.53,0.0463,0.27899999999999997,3e-06,0.0996,0.836,103.009,4,Pop
3245,5kLqfA1DOMFkOQrD4KCmnV,Same Boat,Albin Lee Meldau,5,0.5589999999999999,0.126,7,-12.918,0.0352,0.9740000000000001,0.0375,0.128,0.23399999999999999,58.122,4,Pop
3247,5rzO4nvz6ZzgfUZ5q9laT9,Diary (feat. Tiwa Savage),Fuse ODG,42,0.6679999999999999,0.619,0,-3.9730000000000003,0.0809,0.608,0.0,0.153,0.6779999999999999,108.652,4,Pop
3248,3Wkglb2n6Eb3CiHFFshjhK,Try,ISLAND,20,0.63,0.669,6,-7.591,0.0392,0.331,0.00175,0.11699999999999999,0.56,102.791,4,Pop
3249,4RJ6ZuWUlOSkBI8mOQkGR0,Mr. Jones,Counting Crows,6,0.5770000000000001,0.82,0,-5.4910000000000005,0.0365,0.18100000000000002,9e-06,0.165,0.75,141.61,4,Pop
3250,1qRhvlCXiB8JsNM6uP27Km,Glitter & Gold,Rebecca Ferguson,33,0.589,0.6940000000000001,10,-4.39,0.0258,0.292,0.0,0.0471,0.815,175.987,4,Pop
3251,6RPb92J2rlqC1DK7BWIgpF,Sweet Caroline,Tufts Beelzebubs,37,0.563,0.311,0,-9.18,0.0317,0.767,1e-06,0.11,0.205,132.19899999999998,4,Pop
