category,songid,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Romance,7Ek2kv9If3IjdMCRyeVm8g,18,0.762,0.5589999999999999,11,-10.307,0.0365,0.515,0.0,0.243,0.943,128.695,4
Romance,5eEo9Nkv8zjyS2XwtuyLGM,55,0.5760000000000001,0.42700000000000005,9,-6.494,0.027000000000000003,0.706,1.8e-05,0.105,0.177,111.944,4
Romance,52HAHV1j93s5B8GoTNI7DJ,68,0.608,0.5820000000000001,9,-9.734,0.0355,0.725,0.0,0.0854,0.95,127.29700000000001,4
Romance,1x80xTzSL7pok3M5JC3oJz,63,0.439,0.489,8,-6.2860000000000005,0.0368,0.132,0.000643,0.114,0.247,143.808,4
Romance,5UPd6Gyj4aoaTUTlpWSak5,58,0.552,0.303,2,-10.579,0.0429,0.772,0.0,0.11900000000000001,0.335,85.921,4
Romance,0D261A5RVmf360Zvp62vOm,48,0.35600000000000004,0.19,5,-11.106,0.0327,0.976,0.00115,0.138,0.11199999999999999,63.494,4
Romance,5MnMWAZreJjGjEkAZlbrE9,40,0.65,0.547,8,-7.473,0.0419,0.0069099999999999995,0.0,0.0822,0.47,120.053,4
Romance,3bELVNyQDvjRqJiMiFoohe,53,0.491,0.172,9,-10.64,0.0343,0.9329999999999999,1e-05,0.0932,0.28,151.779,4
Romance,3Lvm5dOtqy1uZY6nTln6lt,36,0.33399999999999996,0.40299999999999997,4,-9.669,0.0349,0.6729999999999999,7.000000000000001e-06,0.285,0.166,149.838,3
Romance,1rsvpq2FuGdEih29HcHla5,60,0.473,0.385,6,-5.8870000000000005,0.0287,0.753,0.0,0.127,0.523,147.83,4
Romance,1hf35BUaruUs90OiWJyET1,45,0.514,0.506,6,-5.95,0.0279,0.5479999999999999,0.0,0.122,0.203,75.018,4
Romance,6BJltRcIxqomZ5X77zfwCe,45,0.6890000000000001,0.152,5,-20.299,0.0308,0.8340000000000001,2e-06,0.0952,0.192,89.1,4
Romance,7sc07bSNjMdVqVgGHvrPL8,0,0.45399999999999996,0.511,4,-5.513,0.0335,0.618,0.0,0.10800000000000001,0.253,131.518,4
Romance,7mZIFYmiHqZ2P5IoL8iNAY,44,0.67,0.484,1,-10.812999999999999,0.0473,0.348,0.0,0.11800000000000001,0.382,80.331,4
Romance,6KHXp9QKpRuBQPLDOiZlsV,57,0.8009999999999999,0.8759999999999999,8,-3.94,0.0446,0.14400000000000002,1.4000000000000001e-05,0.10400000000000001,0.937,122.98,4
Romance,5LsMYEFSQdHKBJjv8zuFEl,9,0.747,0.43200000000000005,4,-13.707,0.0301,0.7120000000000001,0.48100000000000004,0.11199999999999999,0.561,129.931,4
Romance,5y1VXHqmlOKSi6O2rZaYwV,61,0.657,0.569,1,-9.333,0.0397,0.0167,0.000131,0.132,0.21100000000000002,120.025,4
Romance,51PIvodunv6NmX5250zxAh,83,0.696,0.503,8,-4.842,0.0356,0.0745,0.0,0.0869,0.539,99.977,4
Romance,0OQinuac14RO9Dv8twi4qk,31,0.20800000000000002,0.0181,4,-30.21,0.0369,0.99,0.95,0.12300000000000001,0.172,69.774,3
