"","songid","category.x","popularity.x","danceability.x","energy.x","key.x","loudness.x","speechiness.x","acousticness.x","instrumentalness.x","liveness.x","valence.x","tempo.x","X","song_title","artist_name","popularity.y","danceability.y","energy.y","key.y","loudness.y","speechiness.y","acousticness.y","instrumentalness.y","liveness.y","valence.y","tempo.y","category.y"
"2414","6G4THRgM0UpFSABjuYrG2u","Electronic/Dance",52,"danceability",0.577,11,-8.077,0.133,0.048,0.85,0.132,0.163,118.013,4095,"Clsr","Kiso",52,0.78,0.577,11,-8.077,0.133,0.048,0.85,0.132,0.163,118.013,"Electronic/Dance"
"2415","6gBFPUFcJLzWGx4lenP6h2","Hip-Hop",92,"0.841",0.728,7,-3.37,0.0484,0.0847,0,0.149,0.43,130.049,5752,"goosebumps","Travis Scott",91,0.841,0.728,7,-3.37,0.0484,0.0847,0,0.149,0.43,130.049,"Hip-Hop"
"2416","6Gds0xbRf66IPJ3Qo0pmPL","Pop",55,"danceability",0.497,11,-5.504,0.442,0.547,0,0.0912,0.734,123.763,3490,"Riff Off: Mickey/Like A Virgin/Hit Me With Your Best Shot/S&M/Let’s Talk About Sex/I’ll Make Love To You/Feels Like The First Time/No Diggity","Various Artists",54,0.573,0.497,11,-5.504,0.442,0.547,0,0.0912,0.734,123.763,"Pop"
"2417","6GfqX5QB43nsHGeyYTeFDS","Rock",0,"0.582",0.854,7,-7.597,0.0539,0.0789,0,0.0945,0.323,122.227,7527,"Lithium","The Polyphonic Spree",0,0.582,0.854,7,-7.597,0.0539,0.0789,0,0.0945,0.323,122.227,"Rock"
"2418","6Gi8vIT6In8RrT2eTKxoVR","Rock",64,"0.633",0.934,0,-3.594,0.0344,0.219,0.00021,0.0592,0.963,128.606,7554,"Brown Sugar - Remastered","The Rolling Stones",64,0.633,0.934,0,-3.594,0.0344,0.219,0.00021,0.0592,0.963,128.606,"Rock"
"2419","6gjyoLwEGitossNxkL7S3z","Hip-Hop",55,"0.813",0.718,11,-6.488,0.0544,0.0111,0.0012,0.0788,0.713,140.012,5274,"One Eye On the Door - Zdot Remix","Professor Green",55,0.813,0.718,11,-6.488,0.0544,0.0111,0.0012,0.0788,0.713,140.012,"Hip-Hop"
"2420","6golelYKuy85o3u0cxIxFK","Rock",63,"0.547",0.635,2,-5.569,0.137,0.0127,5e-06,0.0585,0.496,113.678,7104,"The Wire","HAIM",62,0.547,0.635,2,-5.569,0.137,0.0127,5e-06,0.0585,0.496,113.678,"Rock"
"2421","6GrrkiCRO3HYdgRpO4eKEL","Rock",62,"0.473",0.419,6,-6.936,0.0486,0.514,0,0.104,0.768,184.427,7523,"Swing Life Away","Rise Against",62,0.473,0.419,6,-6.936,0.0486,0.514,0,0.104,0.768,184.427,"Rock"
"2422","6gSUoVJK3TXCId8jqlSoNe","Pop",1,"danceability",0.806,11,-5.407,0.0433,0.0151,0.0213,0.257,0.458,110.853,3687,"Lady, You Shot Me","Har Mar Superstar",1,0.407,0.806,11,-5.407,0.0433,0.0151,0.0213,0.257,0.458,110.853,"Pop"
"2423","6gttjO6hxvBiPI9YcQtG4g","Pop",53,"danceability",0.586,2,-6.04,0.136,0.145,0,0.0653,0.763,104.964,3218,"M.I.A.","Why Dont We",68,0.904,0.586,2,-6.04,0.136,0.145,0,0.0653,0.763,104.964,"Pop"
